poi_number,group,route,net_worth
109,Group 9,BDACE,193
110,Group 7,ABDCE,204
111,Group 13,EACBD,835
112,Group 17,CEADB,681
113,Group 2,EACBD,242
114,Group 8,CEDAB,510
115,Group 3,AECDB,879
116,Group 14,BECDA,835
117,Group 3,BDAEC,329
118,Group 20,CEDAB,70
119,Group 7,DBAEC,682
120,Group 12,DECBA,783
121,Group 17,ABCED,655
122,Group 7,EBCDA,90
123,Group 4,ABECD,743
124,Group 13,DACEB,553
125,Group 13,DBEAC,837
126,Group 19,EDCBA,784
127,Group 16,BEADC,734
128,Group 10,CEADB,306
129,Group 2,AEDCB,929
130,Group 7,CAEDB,391
131,Group 3,DCEBA,416
132,Group 17,ACEBD,693
133,Group 4,DEBCA,823
134,Group 10,AEDBC,757
135,Group 17,BEADC,626
136,Group 20,BDCAE,988
137,Group 4,DECBA,408
138,Group 15,EBACD,416
139,Group 4,CBDEA,4
140,Group 16,ECBAD,162
141,Group 19,DEABC,825
142,Group 19,BADEC,589
143,Group 5,DBCAE,164
144,Group 3,AEBCD,442
145,Group 17,CADBE,941
146,Group 4,ECBAD,45
147,Group 8,EDCBA,227
148,Group 16,EBADC,444
149,Group 12,BECDA,795
150,Group 4,DBACE,132
151,Group 8,BDEAC,315
152,Group 11,EDABC,267
153,Group 7,EBCDA,806
154,Group 15,CBEAD,246
155,Group 17,DBECA,232
156,Group 13,BADCE,126
157,Group 20,DCEAB,635
158,Group 7,BEACD,184
159,Group 7,BDECA,946
160,Group 8,ECDAB,545
161,Group 11,ADBCE,831
162,Group 7,EADCB,952
163,Group 18,AEBCD,360
164,Group 7,BEDAC,187
165,Group 19,DBAEC,196
166,Group 1,CEDAB,975
167,Group 3,BECAD,277
168,Group 15,EDACB,454
169,Group 11,DECAB,760
170,Group 11,BDACE,437
171,Group 5,ABEDC,83
172,Group 13,DEACB,920
173,Group 12,BCDEA,490
174,Group 17,BDECA,142
175,Group 13,DCABE,108
176,Group 14,AECDB,69
177,Group 8,DBCAE,995
178,Group 15,BDCAE,166
179,Group 16,CDAEB,937
180,Group 6,BDECA,41
181,Group 11,BAEDC,506
182,Group 11,BACED,951
183,Group 4,DCBAE,343
184,Group 19,DAEBC,671
185,Group 2,DCEAB,22
186,Group 13,AEBCD,436
187,Group 4,ADCBE,439
188,Group 11,DECAB,549
189,Group 16,BECDA,923
190,Group 14,BACED,849
191,Group 13,DCEBA,898
192,Group 17,EDCAB,437
193,Group 14,ABECD,632
194,Group 4,BECAD,735
195,Group 3,BEDAC,782
196,Group 15,AEBCD,858
197,Group 11,EBCAD,947
198,Group 5,CEDAB,75
199,Group 11,BCADE,415
200,Group 10,AECBD,382
201,Group 3,DBEAC,341
202,Group 18,CEBDA,973
203,Group 20,ECABD,677
204,Group 11,ECDAB,64
205,Group 18,BDCEA,191
206,Group 16,EBADC,691
207,Group 13,DCBEA,646
208,Group 19,BCADE,429
209,Group 2,EDBAC,83
210,Group 5,EADCB,999
211,Group 13,BDCAE,699
212,Group 1,BCDAE,340
213,Group 6,EABDC,457
214,Group 20,BADCE,114
215,Group 2,BDEAC,712
216,Group 14,BCEAD,910
217,Group 17,ACEBD,986
218,Group 13,ACBDE,488
219,Group 10,AECBD,238
220,Group 1,BCDEA,752
221,Group 10,DECBA,922
222,Group 19,BCAED,385
223,Group 6,EBADC,871
224,Group 20,EDBCA,196
225,Group 13,ACDBE,887
226,Group 6,ABEDC,78
227,Group 3,EBCAD,456
228,Group 7,CEBAD,169
229,Group 4,CEDAB,417
230,Group 16,ABCED,270
231,Group 16,BCDEA,25
232,Group 18,EBDCA,494
233,Group 11,CBDEA,237
234,Group 16,CAEBD,960
235,Group 7,EADCB,848
236,Group 15,DCAEB,714
237,Group 9,CEDBA,40
238,Group 20,CEABD,736
239,Group 18,CDBAE,855
240,Group 15,DACEB,976
241,Group 19,EDABC,800
242,Group 4,BACED,250
243,Group 14,DACEB,295
244,Group 6,BEDCA,767
245,Group 4,DACEB,44
246,Group 13,CDABE,818
247,Group 4,CBDEA,988
248,Group 1,DEABC,185
249,Group 8,ECBDA,154
250,Group 17,AEBDC,800
251,Group 4,DAEBC,343
252,Group 19,EACDB,171
253,Group 14,CEABD,595
254,Group 15,DCBAE,516
255,Group 5,CABDE,572
256,Group 5,EBCDA,660
257,Group 20,ADCBE,978
258,Group 20,BECAD,691
259,Group 8,AEDCB,920
260,Group 15,EDCBA,311
261,Group 5,DBCAE,548
262,Group 19,EBDCA,632
263,Group 3,EBCDA,92
264,Group 2,CDEAB,718
265,Group 19,ECADB,524
266,Group 12,ADEBC,547
267,Group 9,BADEC,866
268,Group 15,DABCE,688
269,Group 1,AEDCB,845
270,Group 1,BEACD,272
271,Group 17,ABEDC,763
272,Group 12,EDABC,856
273,Group 8,BDACE,280
274,Group 8,EBCDA,870
275,Group 12,BAECD,565
276,Group 9,ACDEB,606
277,Group 17,DECAB,281
278,Group 10,BDECA,282
279,Group 8,CAEBD,520
280,Group 19,DAECB,852
281,Group 3,EBCAD,636
282,Group 14,EDCAB,589
283,Group 3,DCBEA,250
284,Group 9,BDECA,391
285,Group 11,DABEC,369
286,Group 11,CABDE,910
287,Group 15,ABCDE,527
288,Group 1,DBACE,641
289,Group 10,ECDBA,501
290,Group 18,ECDAB,865
291,Group 6,ACDBE,960
292,Group 1,CDAEB,597
293,Group 2,BACDE,8
294,Group 5,AECDB,864
295,Group 19,BDECA,47
296,Group 14,ADBEC,368
297,Group 10,AEDBC,406
298,Group 12,BADCE,95
299,Group 3,ACBDE,276
300,Group 12,DCEAB,637
301,Group 11,EACBD,175
302,Group 9,CBDAE,438
303,Group 19,DABCE,47
304,Group 5,BCDAE,203
305,Group 20,DABEC,718
306,Group 14,BDCAE,271
307,Group 14,CBEAD,507
308,Group 11,CEBAD,346
309,Group 14,ACBDE,173
310,Group 17,AECDB,954
311,Group 4,EBDCA,452
312,Group 7,BDACE,394
313,Group 4,EDACB,926
314,Group 2,EBACD,461
315,Group 7,DACEB,911
316,Group 5,CDBAE,345
317,Group 1,ACDBE,931
318,Group 18,DBEAC,566
319,Group 8,BDECA,634
320,Group 19,DCEBA,926
321,Group 18,BDCEA,85
322,Group 3,EDACB,702
323,Group 4,BCAED,84
324,Group 6,DEBCA,148
325,Group 11,EBADC,611
326,Group 6,EDBAC,755
327,Group 19,ACBDE,559
328,Group 11,EDCBA,112
329,Group 2,AECBD,748
330,Group 2,ECBAD,238
331,Group 7,CADEB,912
332,Group 17,ACEDB,461
333,Group 3,AEDCB,396
334,Group 16,DAEBC,180
335,Group 18,CDBEA,253
336,Group 10,DBACE,776
337,Group 18,CBDAE,667
338,Group 10,EADCB,688
339,Group 17,EADBC,993
340,Group 11,DCBAE,333
341,Group 1,ADBCE,525
342,Group 8,CBEDA,685
343,Group 5,EDBAC,99
344,Group 20,EACDB,611
345,Group 4,CEBAD,766
346,Group 9,DCAEB,488
347,Group 19,CEDBA,73
348,Group 13,AECBD,388
349,Group 10,EDBAC,336
350,Group 12,ABDCE,44
351,Group 8,DCBEA,964
352,Group 1,BCDEA,172
353,Group 18,DBECA,738
354,Group 14,ADBEC,846
355,Group 9,DCEAB,164
356,Group 7,BADEC,767
357,Group 11,DCEAB,122
358,Group 17,BADEC,454
359,Group 14,EBCAD,314
360,Group 14,ACEBD,855
361,Group 7,CBDAE,154
362,Group 11,CEBAD,749
363,Group 8,ACDBE,919
364,Group 6,AECDB,974
365,Group 15,EBCDA,969
366,Group 19,EDCAB,903
367,Group 20,ABDCE,824
368,Group 7,BADEC,730
369,Group 16,DCAEB,252
370,Group 4,EDBAC,929
371,Group 14,CDBEA,408
372,Group 16,ABDCE,146
373,Group 13,DEACB,654
374,Group 18,BEDCA,625
375,Group 6,CADBE,542
376,Group 15,ACDEB,40
377,Group 4,DBAEC,805
378,Group 6,CEDBA,187
379,Group 15,ECABD,744
380,Group 20,DECBA,1000
381,Group 1,EDBAC,235
382,Group 19,BCEAD,623
383,Group 2,BCAED,750
384,Group 4,EDCAB,979
385,Group 17,EABDC,334
386,Group 10,EBCDA,264
387,Group 1,EACDB,764
388,Group 8,EADBC,943
389,Group 4,BCEAD,159
390,Group 3,ECBDA,685
391,Group 4,AEBDC,621
392,Group 10,ACDEB,998
393,Group 10,BCEDA,928
394,Group 9,BECAD,297
395,Group 13,BEDAC,503
396,Group 8,ADBCE,29
397,Group 7,CBEDA,916
398,Group 9,ACBED,728
399,Group 8,BAECD,2
400,Group 10,EDBAC,918
401,Group 13,ACBED,667
402,Group 5,EBCDA,660
403,Group 7,BEDAC,120
404,Group 11,BDAEC,82
405,Group 3,DEABC,78
406,Group 13,ACDEB,566
407,Group 9,ACDBE,609
408,Group 6,CDABE,281
409,Group 12,AECDB,52
410,Group 6,EBDAC,318
411,Group 2,DBCEA,989
412,Group 19,CBEAD,212
413,Group 2,ACBDE,758
414,Group 1,EABCD,143
415,Group 7,AEBDC,843
416,Group 18,BCDAE,803
417,Group 16,CEADB,563
418,Group 3,DEACB,377
419,Group 15,CEADB,864
420,Group 18,CBAED,271
421,Group 20,ACDBE,920
422,Group 15,BCEAD,758
423,Group 7,CABDE,262
424,Group 16,AEDBC,586
425,Group 2,DECAB,204
426,Group 1,BDEAC,758
427,Group 9,BEDCA,159
428,Group 2,EDACB,413
429,Group 3,ACEDB,866
430,Group 12,EBDCA,671
431,Group 14,CEDBA,949
432,Group 15,EADBC,299
433,Group 3,CDBAE,330
434,Group 13,ABDEC,474
435,Group 15,CABED,104
436,Group 9,CBEAD,529
437,Group 11,ADBEC,59
438,Group 9,ACDBE,371
439,Group 1,CADEB,893
440,Group 12,EADCB,918
441,Group 2,ADEBC,394
442,Group 18,DABCE,660
443,Group 7,DCABE,91
444,Group 17,CEBAD,883
445,Group 11,BDAEC,524
446,Group 14,ACEBD,102
447,Group 6,ECDBA,129
448,Group 8,BEDAC,325
449,Group 6,ACBDE,824
450,Group 19,DCBEA,731
451,Group 12,EDCAB,594
452,Group 17,ECADB,761
453,Group 11,BCDAE,674
454,Group 13,BACDE,858
455,Group 17,AEDCB,851
456,Group 7,DCBEA,163
457,Group 1,ABDEC,43
458,Group 17,BDAEC,40
459,Group 1,EBDAC,938
460,Group 5,EBACD,44
461,Group 10,BDCAE,182
462,Group 16,DECAB,767
463,Group 17,CEADB,681
464,Group 5,BEADC,429
465,Group 11,ECBDA,535
466,Group 14,CBDEA,59
467,Group 14,ADBEC,415
468,Group 10,BECDA,641
469,Group 7,BADCE,232
470,Group 4,CEBAD,769
471,Group 10,DCABE,921
472,Group 17,DACEB,529
473,Group 20,DCAEB,261
474,Group 1,DECBA,887
475,Group 9,DBAEC,319
476,Group 9,CEBDA,334
477,Group 15,DBECA,818
478,Group 20,DEABC,187
479,Group 12,CEABD,584
480,Group 16,AEBCD,860
481,Group 6,AECDB,462
482,Group 9,EACDB,587
483,Group 16,CBEDA,109
484,Group 16,ABEDC,302
485,Group 9,DACBE,79
486,Group 11,DEBAC,392
487,Group 12,BECDA,464
488,Group 18,DEBCA,680
489,Group 2,DAECB,37
490,Group 20,BDEAC,326
491,Group 2,BCDAE,703
492,Group 8,ADBEC,254
493,Group 7,ECBAD,678
494,Group 11,ACDBE,536
495,Group 17,ACDBE,976
496,Group 2,DBECA,993
497,Group 17,DEBAC,868
498,Group 5,EADCB,517
499,Group 17,ABDCE,485
500,Group 4,EBCAD,485
501,Group 3,DAECB,553
502,Group 16,ADCBE,280
503,Group 13,EBACD,876
504,Group 11,DCBEA,296
505,Group 10,ADBEC,500
506,Group 9,EDCBA,97
507,Group 7,ECDAB,137
508,Group 18,BACED,683
509,Group 19,ABCED,58
510,Group 12,EABDC,654
511,Group 14,EDCAB,724
512,Group 7,BCAED,586
513,Group 12,DAEBC,926
514,Group 16,AECDB,748
515,Group 2,BADCE,480
516,Group 6,BDACE,71
517,Group 6,ECDAB,896
518,Group 12,ADBCE,495
519,Group 11,ABDEC,546
520,Group 6,DABCE,629
521,Group 2,DEABC,451
522,Group 10,AECDB,832
523,Group 17,BECAD,722
524,Group 12,BDCAE,660
525,Group 20,ECBDA,71
526,Group 14,AECBD,853
527,Group 8,DCAEB,124
528,Group 9,CDEBA,431
529,Group 5,ADECB,803
530,Group 2,CABDE,140
531,Group 11,BDACE,450
532,Group 16,BCADE,652
533,Group 20,CEDAB,968
534,Group 5,CDBEA,59
535,Group 10,BCEAD,682
536,Group 6,ADBEC,167
537,Group 4,DEBAC,741
538,Group 6,BAEDC,825
539,Group 14,CAEDB,198
540,Group 3,CBEDA,886
541,Group 7,ADBEC,911
542,Group 14,EBACD,566
543,Group 17,ECDBA,175
544,Group 14,ADCEB,127
545,Group 6,DECAB,58
546,Group 8,EBACD,758
547,Group 15,CEBDA,519
548,Group 18,EBDAC,431
549,Group 9,ECBAD,938
550,Group 15,ACDBE,515
551,Group 7,DEBCA,433
552,Group 16,BCDAE,509
553,Group 11,ABCED,75
554,Group 2,ABCED,447
555,Group 10,EABDC,873
556,Group 12,ADECB,613
557,Group 13,CEDAB,135
558,Group 7,EBCDA,674
559,Group 9,EDCBA,53
560,Group 15,ADBEC,811
561,Group 5,DBCAE,184
562,Group 10,DEBAC,649
563,Group 14,DEACB,883
564,Group 18,BEACD,640
565,Group 1,DEABC,376
566,Group 15,EBCDA,964
567,Group 20,DEBCA,255
568,Group 2,BECDA,255
569,Group 15,DCEBA,717
570,Group 11,CBEDA,837
571,Group 16,BDACE,249
572,Group 16,CBDEA,928
573,Group 10,AEBCD,201
574,Group 8,CBADE,242
575,Group 11,DBECA,532
576,Group 4,BACDE,856
577,Group 5,ADEBC,50
578,Group 4,ADBCE,814
579,Group 6,EADBC,794
580,Group 16,BCADE,12
581,Group 19,ADBEC,297
582,Group 8,DBECA,181
583,Group 1,CBAED,829
584,Group 18,EACDB,626
585,Group 10,EACDB,749
586,Group 2,DBECA,33
587,Group 9,BCAED,69
588,Group 18,BCADE,715
589,Group 1,DBCAE,55
590,Group 7,ECADB,566
591,Group 10,BAEDC,627
592,Group 5,DCAEB,554
593,Group 11,BEDAC,657
594,Group 2,EDABC,33
595,Group 16,ACEBD,119
596,Group 13,CBEDA,571
597,Group 20,ECBAD,347
598,Group 2,CDAEB,706
599,Group 3,BEADC,50
600,Group 13,AECDB,711
601,Group 18,ADCBE,198
602,Group 2,ACBED,736
603,Group 7,ECADB,995
604,Group 10,ADBCE,493
605,Group 4,ECDAB,640
606,Group 19,EACDB,819
607,Group 19,ABEDC,454
608,Group 8,ACDEB,273
609,Group 10,AECDB,840
610,Group 20,EDCBA,731
611,Group 15,BCDEA,507
612,Group 1,BDAEC,956
613,Group 15,ABEDC,173
614,Group 12,EDBAC,949
615,Group 16,ECDBA,75
616,Group 13,EDBAC,895
617,Group 16,BEDCA,209
618,Group 13,DBCEA,674
619,Group 9,BCDEA,904
620,Group 15,ECDAB,347
621,Group 11,ECABD,396
622,Group 12,AEDCB,479
623,Group 13,CAEDB,125
624,Group 13,CBAED,232
625,Group 10,BDCEA,774
626,Group 8,AEDCB,548
627,Group 13,CADEB,180
628,Group 15,CBADE,948
629,Group 9,DABEC,87
630,Group 3,ABECD,712
631,Group 18,CBDEA,47
632,Group 19,CABED,948
633,Group 2,ADECB,350
634,Group 18,BDCAE,89
635,Group 8,AEDBC,381
636,Group 15,ECABD,469
637,Group 11,ACDEB,470
638,Group 19,DEACB,224
639,Group 16,DBACE,163
640,Group 16,CDEBA,953
641,Group 15,BEDAC,155
642,Group 16,DAECB,452
643,Group 19,ECDAB,722
644,Group 7,EACBD,44
645,Group 14,ABDCE,929
646,Group 7,CEBAD,961
647,Group 12,DACBE,878
648,Group 3,EBCAD,55
649,Group 11,BECDA,36
650,Group 6,EBCDA,840
651,Group 1,ABEDC,998
652,Group 8,CABDE,487
653,Group 4,BEDAC,637
654,Group 19,ADBCE,205
655,Group 19,CEBDA,338
656,Group 14,CBADE,613
657,Group 20,EBDAC,807
658,Group 13,BADCE,867
659,Group 17,CEBDA,354
660,Group 5,BAECD,718
661,Group 5,CBADE,576
662,Group 9,ADECB,657
663,Group 18,DBAEC,354
664,Group 15,CEADB,527
665,Group 5,EACBD,516
666,Group 1,CABDE,571
667,Group 4,BDECA,244
668,Group 1,AECDB,826
669,Group 2,DEABC,573
670,Group 6,DAECB,884
671,Group 4,ECADB,952
672,Group 15,EDACB,902
673,Group 20,BEDAC,856
674,Group 16,BAECD,485
675,Group 3,CADEB,36
676,Group 6,ECDAB,47
677,Group 13,DBAEC,21
678,Group 18,DBCEA,257
679,Group 19,CADEB,551
680,Group 16,BDACE,726
681,Group 6,CDABE,279
682,Group 13,DCEAB,699
683,Group 7,CABDE,184
684,Group 18,AEDCB,832
685,Group 18,ACDEB,21
686,Group 17,BADEC,75
687,Group 1,CBEAD,832
688,Group 5,DBAEC,204
689,Group 9,CEABD,790
690,Group 9,CABED,118
691,Group 17,AEDBC,101
692,Group 17,ADECB,431
693,Group 12,BCEDA,251
694,Group 18,EACDB,55
695,Group 8,ACDBE,1000
696,Group 5,ACBED,174
697,Group 2,DCBEA,39
698,Group 6,ECDBA,403
699,Group 12,DCEBA,513
700,Group 19,CADEB,239
701,Group 13,DCABE,149
702,Group 19,DABEC,783
703,Group 20,EDACB,961
704,Group 8,ADBCE,1000
705,Group 15,BDCAE,775
706,Group 3,CDEBA,761
707,Group 10,BCEDA,515
708,Group 3,DECBA,54
709,Group 20,EABDC,922
710,Group 20,EBADC,911
711,Group 13,CDEBA,24
712,Group 2,DCEAB,737
713,Group 1,EBCDA,207
714,Group 17,CEDAB,161
715,Group 1,EACDB,331
716,Group 14,BEACD,590
717,Group 13,CDBAE,447
718,Group 2,CDAEB,725
719,Group 2,ECBAD,837
720,Group 4,CEBAD,551
721,Group 5,CABED,563
722,Group 16,CABDE,267
723,Group 17,EACDB,306
724,Group 14,DECBA,315
725,Group 17,ADEBC,525
726,Group 18,CBDEA,335
727,Group 2,DBECA,833
728,Group 10,DBCAE,314
729,Group 11,DEBAC,220
730,Group 15,DBECA,973
731,Group 19,BDACE,558
732,Group 15,EDBCA,888
733,Group 11,BCDAE,254
734,Group 19,ABDEC,136
735,Group 3,ABECD,286
736,Group 19,ABCDE,609
737,Group 8,BECAD,243
738,Group 4,DBACE,40
739,Group 1,CDEBA,934
740,Group 12,ACBED,288
741,Group 8,DAECB,657
742,Group 15,BDCEA,300
743,Group 7,EBDCA,356
744,Group 19,CAEBD,713
745,Group 17,BEDCA,844
746,Group 5,ACEBD,459
747,Group 3,DBCEA,492
748,Group 10,CEABD,697
749,Group 4,CAEBD,430
750,Group 11,DECBA,161
751,Group 1,DBECA,566
752,Group 2,BDEAC,700
753,Group 1,EBADC,187
754,Group 20,DACEB,376
755,Group 18,ABCDE,591
756,Group 11,EBADC,661
757,Group 11,DECAB,35
758,Group 6,ABECD,62
759,Group 15,CBEAD,44
760,Group 14,EDABC,532
761,Group 14,EACBD,518
762,Group 8,EBCAD,716
763,Group 19,ABDEC,767
764,Group 6,BECAD,46
765,Group 14,EDBAC,213
766,Group 20,BCDAE,710
767,Group 10,EBCAD,654
768,Group 5,ABCDE,540
769,Group 3,DCEBA,909
770,Group 1,ADECB,760
771,Group 3,DEABC,254
772,Group 6,DBEAC,966
773,Group 6,BEDCA,192
774,Group 18,DECAB,852
775,Group 2,BADCE,977
776,Group 15,DBAEC,524
777,Group 20,CADEB,246
778,Group 18,CEBAD,896
779,Group 15,DCAEB,238
780,Group 20,DCBAE,240
781,Group 10,DCBAE,221
782,Group 17,BACED,825
783,Group 15,EADBC,979
784,Group 10,CADBE,440
785,Group 5,CDBEA,830
786,Group 5,BCAED,251
787,Group 18,DBCEA,498
788,Group 15,DEBCA,845
789,Group 2,BACDE,208
790,Group 6,EADBC,365
791,Group 3,BEDCA,136
792,Group 5,DEBCA,302
793,Group 14,ABDEC,544
794,Group 2,CAEBD,471
795,Group 10,ECABD,159
796,Group 16,AEBCD,842
797,Group 18,CAEDB,618
798,Group 9,ACDEB,374
799,Group 8,BCADE,424
800,Group 4,DACEB,841
801,Group 5,DCEAB,844
802,Group 11,ADECB,747
803,Group 9,DBEAC,4
804,Group 9,ADBEC,594
805,Group 18,EDBCA,633
806,Group 4,DBCEA,344
807,Group 16,BEADC,300
808,Group 20,AECBD,121
809,Group 15,ADBCE,694
810,Group 4,CEADB,903
811,Group 15,ABECD,690
812,Group 1,CEADB,280
813,Group 4,DBCAE,799
814,Group 15,DAECB,656
815,Group 17,AEDCB,412
816,Group 17,BAECD,551
817,Group 19,AECDB,277
818,Group 5,BEACD,677
819,Group 16,DBCEA,775
820,Group 20,BDCAE,464
821,Group 20,EDCAB,728
822,Group 10,ABDEC,648
823,Group 16,BCDAE,875
824,Group 6,EABDC,365
825,Group 4,CEBDA,692
826,Group 14,BADEC,736
827,Group 5,DCEAB,219
828,Group 19,DCEAB,817
829,Group 7,ACBED,423
830,Group 8,EDCBA,137
831,Group 10,DAEBC,107
832,Group 11,DACEB,297
833,Group 8,EDABC,493
834,Group 9,ACEDB,155
835,Group 8,DEBCA,574
836,Group 2,DCEBA,408
837,Group 8,DAECB,8
838,Group 4,CEBDA,228
839,Group 3,AECBD,891
840,Group 9,CDBAE,508
841,Group 2,BADCE,236
842,Group 20,ABCDE,191
843,Group 17,DBCAE,712
844,Group 3,BAECD,949
845,Group 8,ECDBA,930
846,Group 8,CDABE,172
847,Group 19,ACBED,107
848,Group 4,BECDA,535
849,Group 16,ACEBD,336
850,Group 19,CBDAE,669
851,Group 5,EDBAC,672
852,Group 4,CADEB,223
853,Group 4,EBACD,608
854,Group 6,BCEAD,508
855,Group 12,AEDCB,819
856,Group 11,DABCE,42
857,Group 15,CEDBA,779
858,Group 15,ECBDA,147
859,Group 20,ABCED,112
860,Group 18,CBDEA,765
861,Group 7,AEDBC,722
862,Group 8,ACDBE,675
863,Group 20,CADBE,757
864,Group 16,AEDCB,371
865,Group 12,DAECB,216
866,Group 1,DCBAE,420
867,Group 9,CAEDB,690
868,Group 8,ACEDB,999
869,Group 9,DCEAB,156
870,Group 10,CADBE,781
871,Group 7,ECADB,656
872,Group 4,BEDAC,814
873,Group 11,DAEBC,996
874,Group 16,BACDE,479
875,Group 8,BAECD,124
876,Group 10,BDACE,129
877,Group 10,ABDCE,763
878,Group 2,ECDBA,465
879,Group 3,EBDAC,696
880,Group 20,BDEAC,902
881,Group 9,ACBED,104
882,Group 15,ADCBE,728
883,Group 19,EBADC,996
884,Group 15,BDAEC,678
885,Group 4,DEABC,527
886,Group 18,CBAED,525
887,Group 6,BCAED,571
888,Group 8,BDEAC,30
889,Group 12,EBACD,921
890,Group 14,CDEAB,944
891,Group 17,CAEDB,832
892,Group 10,DCBEA,390
893,Group 6,DBCEA,150
894,Group 14,EBDAC,426
895,Group 2,CAEDB,90
896,Group 14,DEBCA,368
897,Group 13,BECDA,501
898,Group 14,ECDBA,234
899,Group 20,BEADC,121
900,Group 10,BDCAE,70
901,Group 2,ECDAB,577
902,Group 11,ADBEC,703
903,Group 2,BDAEC,393
904,Group 19,AECBD,659
905,Group 18,BEDCA,426
906,Group 9,AEBCD,527
907,Group 16,ACDEB,55
908,Group 14,BDECA,114
909,Group 20,CABED,217
910,Group 13,ADBEC,121
911,Group 12,ACDEB,591
912,Group 14,DACEB,815
913,Group 11,CEADB,957
914,Group 9,EBCAD,941
915,Group 8,BCEAD,3
916,Group 4,DACEB,705
917,Group 4,DCAEB,737
918,Group 3,DBCEA,317
919,Group 19,ACDBE,512
920,Group 14,DCAEB,429
921,Group 10,ACEDB,271
922,Group 3,CEABD,635
923,Group 5,CEABD,962
924,Group 18,DCBAE,986
925,Group 17,BEDAC,187
926,Group 7,DBACE,115
927,Group 9,ABECD,926
928,Group 8,DCEAB,828
929,Group 4,BEADC,681
930,Group 19,EDBAC,775
931,Group 2,DAECB,286
932,Group 11,DCBAE,321
933,Group 9,CBAED,734
934,Group 11,CDEBA,105
935,Group 11,ADBCE,752
936,Group 15,EADBC,4
937,Group 4,BDAEC,136
938,Group 1,EBDAC,951
939,Group 8,BDCAE,677
940,Group 9,CADEB,337
941,Group 13,ABCED,128
942,Group 1,ADBCE,238
943,Group 17,CBDAE,58
944,Group 15,ACEBD,915
945,Group 18,AECDB,311
946,Group 8,CDABE,531
947,Group 9,CDEBA,709
948,Group 12,ECBDA,822
949,Group 16,CEBDA,142
950,Group 6,CEDBA,789
951,Group 9,ABEDC,49
952,Group 4,DEACB,315
953,Group 2,BDCEA,505
954,Group 15,BEDAC,580
955,Group 12,BCEAD,103
956,Group 15,BEACD,163
957,Group 19,EABDC,362
958,Group 7,DACEB,381
